DATE,WPUIP2311001
1986-06-01,100.0
1986-07-01,99.9
1986-08-01,99.9
1986-09-01,100.1
1986-10-01,99.9
1986-11-01,99.9
1986-12-01,99.8
1987-01-01,100.0
1987-02-01,100.4
1987-03-01,100.7
1987-04-01,101.1
1987-05-01,101.3
1987-06-01,101.5
1987-07-01,102.0
1987-08-01,102.3
1987-09-01,102.9
1987-10-01,103.0
1987-11-01,103.3
1987-12-01,103.4
1988-01-01,103.9
1988-02-01,104.1
1988-03-01,104.5
1988-04-01,105.0
1988-05-01,105.2
1988-06-01,105.6
1988-07-01,106.1
1988-08-01,106.0
1988-09-01,106.3
1988-10-01,106.4
1988-11-01,106.8
1988-12-01,107.0
1989-01-01,107.6
1989-02-01,108.5
1989-03-01,109.2
1989-04-01,110.1
1989-05-01,110.6
1989-06-01,110.7
1989-07-01,111.1
1989-08-01,110.8
1989-09-01,111.0
1989-10-01,111.5
1989-11-01,111.3
1989-12-01,110.8
1990-01-01,111.2
1990-02-01,111.4
1990-03-01,111.9
1990-04-01,112.6
1990-05-01,112.6
1990-06-01,112.0
1990-07-01,112.2
1990-08-01,112.3
1990-09-01,112.7
1990-10-01,112.8
1990-11-01,112.8
1990-12-01,112.7
1991-01-01,112.9
1991-02-01,112.7
1991-03-01,112.9
1991-04-01,113.3
1991-05-01,114.2
1991-06-01,115.6
1991-07-01,115.8
1991-08-01,114.5
1991-09-01,114.7
1991-10-01,114.5
1991-11-01,114.6
1991-12-01,115.0
1992-01-01,115.6
1992-02-01,117.3
1992-03-01,118.1
1992-04-01,118.5
1992-05-01,118.7
1992-06-01,118.4
1992-07-01,118.1
1992-08-01,118.2
1992-09-01,119.2
1992-10-01,119.0
1992-11-01,119.3
1992-12-01,120.6
1993-01-01,122.6
1993-02-01,125.3
1993-03-01,127.8
1993-04-01,128.2
1993-05-01,127.0
1993-06-01,125.7
1993-07-01,125.1
1993-08-01,125.6
1993-09-01,126.7
1993-10-01,126.9
1993-11-01,127.8
1993-12-01,128.9
1994-01-01,130.0
1994-02-01,129.8
1994-03-01,130.1
1994-04-01,129.3
1994-05-01,129.2
1994-06-01,130.1
1994-07-01,129.9
1994-08-01,130.4
1994-09-01,131.0
1994-10-01,131.2
1994-11-01,132.1
1994-12-01,132.1
1995-01-01,132.6
1995-02-01,132.6
1995-03-01,133.3
1995-04-01,133.5
1995-05-01,133.6
1995-06-01,133.1
1995-07-01,133.7
1995-08-01,133.9
1995-09-01,134.3
1995-10-01,133.7
1995-11-01,132.9
1995-12-01,132.7
1996-01-01,132.6
1996-02-01,132.7
1996-03-01,133.1
1996-04-01,133.5
1996-05-01,135.0
1996-06-01,135.5
1996-07-01,135.0
1996-08-01,135.7
1996-09-01,136.8
1996-10-01,135.9
1996-11-01,136.9
1996-12-01,136.7
1997-01-01,137.0
1997-02-01,137.9
1997-03-01,138.3
1997-04-01,138.7
1997-05-01,139.2
1997-06-01,138.8
1997-07-01,138.9
1997-08-01,138.8
1997-09-01,138.4
1997-10-01,137.7
1997-11-01,137.9
1997-12-01,137.6
1998-01-01,137.3
1998-02-01,137.5
1998-03-01,137.5
1998-04-01,137.9
1998-05-01,137.6
1998-06-01,137.1
1998-07-01,137.8
1998-08-01,138.2
1998-09-01,137.9
1998-10-01,137.2
1998-11-01,137.1
1998-12-01,137.3
1999-01-01,137.9
1999-02-01,138.7
1999-03-01,139.6
1999-04-01,140.1
1999-05-01,141.0
1999-06-01,142.6
1999-07-01,144.0
1999-08-01,143.7
1999-09-01,142.2
1999-10-01,141.0
1999-11-01,141.3
1999-12-01,141.7
2000-01-01,142.4
2000-02-01,142.7
2000-03-01,143.2
2000-04-01,143.2
2000-05-01,142.2
2000-06-01,142.4
2000-07-01,141.9
2000-08-01,141.2
2000-09-01,141.3
2000-10-01,141.1
2000-11-01,140.8
2000-12-01,140.6
2001-01-01,140.3
2001-02-01,140.9
2001-03-01,141.0
2001-04-01,141.3
2001-05-01,143.4
2001-06-01,143.7
2001-07-01,142.4
2001-08-01,142.4
2001-09-01,142.4
2001-10-01,141.1
2001-11-01,140.8
2001-12-01,140.1
2002-01-01,140.3
2002-02-01,140.3
2002-03-01,140.9
2002-04-01,141.3
2002-05-01,141.2
2002-06-01,141.1
2002-07-01,141.3
2002-08-01,141.6
2002-09-01,141.6
2002-10-01,141.4
2002-11-01,141.0
2002-12-01,141.0
2003-01-01,141.4
2003-02-01,142.4
2003-03-01,142.4
2003-04-01,142.6
2003-05-01,142.6
2003-06-01,142.9
2003-07-01,143.8
2003-08-01,144.2
2003-09-01,145.9
2003-10-01,146.4
2003-11-01,146.6
2003-12-01,145.9
2004-01-01,146.2
2004-02-01,148.5
2004-03-01,150.4
2004-04-01,152.3
2004-05-01,153.9
2004-06-01,153.7
2004-07-01,153.7
2004-08-01,155.6
2004-09-01,156.6
2004-10-01,156.3
2004-11-01,155.8
2004-12-01,156.1
2005-01-01,158.0
2005-02-01,159.7
2005-03-01,160.6
2005-04-01,161.1
2005-05-01,160.7
2005-06-01,161.8
2005-07-01,162.3
2005-08-01,162.5
2005-09-01,164.8
2005-10-01,166.7
2005-11-01,165.9
2005-12-01,166.8
2006-01-01,169.3
2006-02-01,169.9
2006-03-01,170.8
2006-04-01,172.3
2006-05-01,173.4
2006-06-01,174.0
2006-07-01,174.8
2006-08-01,175.2
2006-09-01,174.6
2006-10-01,173.7
2006-11-01,173.7
2006-12-01,173.8
2007-01-01,174.5
2007-02-01,175.1
2007-03-01,176.0
2007-04-01,176.9
2007-05-01,177.5
2007-06-01,177.8
2007-07-01,178.3
2007-08-01,177.9
2007-09-01,177.8
2007-10-01,177.5
2007-11-01,178.3
2007-12-01,178.2
2008-01-01,179.1
2008-02-01,180.0
2008-03-01,181.4
2008-04-01,183.0
2008-05-01,185.7
2008-06-01,188.1
2008-07-01,191.0
2008-08-01,192.6
2008-09-01,193.8
2008-10-01,191.8
2008-11-01,189.6
2008-12-01,187.1
2009-01-01,186.9
2009-02-01,185.6
2009-03-01,184.7
2009-04-01,184.4
2009-05-01,184.5
2009-06-01,184.4
2009-07-01,184.4
2009-08-01,185.6
2009-09-01,185.4
2009-10-01,184.6
2009-11-01,185.5
2009-12-01,185.9
2010-01-01,187.6
2010-02-01,187.9
2010-03-01,189.8
2010-04-01,191.8
2010-05-01,193.0
2010-06-01,191.6
2010-07-01,191.2
2010-08-01,191.7
2010-09-01,191.4
2010-10-01,192.2
2010-11-01,192.9
2010-12-01,193.9
2011-01-01,195.9
2011-02-01,197.6
2011-03-01,200.8
2011-04-01,203.0
2011-05-01,204.3
2011-06-01,204.4
2011-07-01,205.3
2011-08-01,204.2
2011-09-01,204.7
2011-10-01,203.7
2011-11-01,203.7
2011-12-01,203.3
2012-01-01,204.7
2012-02-01,206.1
2012-03-01,208.1
2012-04-01,208.7
2012-05-01,208.3
2012-06-01,207.2
2012-07-01,206.6
2012-08-01,208.2
2012-09-01,209.5
2012-10-01,208.7
2012-11-01,207.4
2012-12-01,207.4
2013-01-01,209.0
2013-02-01,211.4
2013-03-01,211.7
2013-04-01,211.7
2013-05-01,211.5
2013-06-01,211.0
2013-07-01,210.8
2013-08-01,211.6
2013-09-01,211.7
2013-10-01,211.1
2013-11-01,210.7
2013-12-01,211.0
2014-01-01,212.7
2014-02-01,214.0
2014-03-01,214.9
2014-04-01,215.5
2014-05-01,215.8
2014-06-01,216.0
2014-07-01,216.1
2014-08-01,216.2
2014-09-01,216.1
2014-10-01,214.4
2014-11-01,213.2
2014-12-01,211.0
2015-01-01,207.6
2015-02-01,208.6
2015-03-01,209.7
2015-04-01,209.6
2015-05-01,211.9
2015-06-01,212.0
2015-07-01,211.4
2015-08-01,209.8
2015-09-01,207.1
2015-10-01,206.7
2015-11-01,206.0
2015-12-01,203.9
2016-01-01,203.4
2016-02-01,202.2
2016-03-01,203.4
2016-04-01,204.8
2016-05-01,206.3
2016-06-01,207.7
2016-07-01,207.6
2016-08-01,207.3
2016-09-01,207.5
2016-10-01,207.9
2016-11-01,207.2
2016-12-01,208.0
2017-01-01,210.5
2017-02-01,211.6
2017-03-01,211.9
2017-04-01,213.4
2017-05-01,213.2
2017-06-01,213.3
2017-07-01,213.3
2017-08-01,214.8
2017-09-01,216.5
2017-10-01,216.9
2017-11-01,218.1
2017-12-01,218.0
2018-01-01,220.9
2018-02-01,222.9
2018-03-01,224.9
2018-04-01,226.4
2018-05-01,230.6
2018-06-01,232.1
2018-07-01,232.1
2018-08-01,231.3
2018-09-01,231.7
2018-10-01,232.5
2018-11-01,229.2
2018-12-01,225.1
2019-01-01,223.8
2019-02-01,225.7
2019-03-01,228.4
2019-04-01,230.9
2019-05-01,231.2
2019-06-01,228.4
2019-07-01,229.8
2019-08-01,227.9
2019-09-01,227.2
2019-10-01,227.5
2019-11-01,226.9
2019-12-01,226.7
2020-01-01,228.0
2020-02-01,227.3
2020-03-01,224.5
2020-04-01,215.2
2020-05-01,216.5
2020-06-01,221.2
2020-07-01,225.3
2020-08-01,228.9
2020-09-01,231.9
2020-10-01,231.8
2020-11-01,230.7
2020-12-01,234.4
2021-01-01,240.2
2021-02-01,244.7
2021-03-01,252.6
